date_time,pm1,pm25,pm10,temperature,humidity,air_pressure,co,no2,nh3,dBA
"2023-02-11 09:40:23",6,9,9,22,12,101816,481405,18373.7,358815,61
"2023-02-11 09:35:19",7,7,7,14,44,70759,342383,33243,34721.6,53
"2023-02-11 09:15:49",5,11,11,22,12,101800,495230,22987,420826,45
"2023-02-11 09:10:46",5,11,11,22,12,101796,490039,21820.8,406506,52
"2023-02-11 09:05:42",6,10,10,22,12,101796,498955,21374.8,422214,39
"2023-02-11 09:00:39",6,10,10,23,12,101793,490644,20049.4,413781,63
"2023-02-11 08:55:35",6,11,11,22,12,101794,487929,18740.3,415805,52
"2023-02-11 08:50:31",6,11,11,22,13,101792,476469,16867.1,407376,44
"2023-02-11 08:45:28",6,11,11,22,13,101795,462737,14556.2,393430,44
